index,genre,filename,year,old_index,source1,source2,Sentence1,Sentence2,Similarity
0,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"With all the evidence coming to light showing just how dangerous these 'vaccines' are, plus Pfizer not only being forced to release data showing how useless and awful it is, but their director addressing the European Parliament only last week, admitting its failures - why on earth are people still taking it.....? The mind boggles.","How far do we go to save the pension fund gamblers backsides? Why should ordinary people who have mortgages be expected to pay sky high interest rates just for this reason? Nothing to do with Truss, Brexit, the war - just having to bail out greedy fund managers once again. Where were the regulators?? Why is no-one being fired????",0.309506953
1,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"Frankersen so whats the point for most of us to have the jab!!!! The data also shows that in the UK the cause of death category cause unknown has increased significantly since the vaccine came into play and there are an increasing number of reports of totally unexpected deaths of people who are healthy, young and no underlying issues of any sort.","Why are we allowing this minor european war to effect our economy, the defence and security of the second rate continental eurotrash has nothing to do with us . Truss needs to apologise to Rusdia and start buying cheap energy from them, we have seen Germany whinging like hell this week over the Americans inflating their LPG prices and can not allow us to be ripped off in the same way",0.220067307
2,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"Those vaccines were Tested long before they became ritual. Covid Vaccines were Not tested, CDC claims this past week. CDC Also claims heart problems CAN occur in younger adults due to the vaccine. Only reason to force people to get the jab is Control. And the most controlled are the slaves to the Democrat party","Oh gosh, what will they do to help people......mmm. let's take a look at the WE.F play book. Yep there it is, a Chinese inspired social credit system and central government controlled bank that will control your money and how you spend it. What, you're already broke. Let's put a value on your belongings, you will own nothing and you will be happy .....oh, and if you complain, they will do a Trudy of Canada and will freeze your account. And before the woke red flaggers arrive, Trudy froze the bank account of the trucker protesting and Germany and Italy are already working on a central banking system.....",0.105955079
3,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"It's common knowledge among the honest medical community. Check the VAERS data base, which lists adverse affects of the jab. The data is overwhelming and coming in from all over the world now. 84% increase in excess deaths among men under 40",The end of free money and the start of the absolute necessity to build up Britain's real economy based in manufacturing and technology dominated by British owned and controlled manufacturing companies not the financial service property based economy wasteland we have now. End international capitalism and return to national capitalism as practised by every other advanced Western economy except the UK.,0.035009552
4,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,Science will always lead to the truth. And experience. I have not gotten the vaccine. I have also not gotten covid. But many people close to me have the vaccine and have gotten covid so incredibly bad. A few people I know have passed away. Just follow the science,"The US has 30 yr mortgages as standard why are we stuck with 2 yr, 3 or 5yr mortgages. Every 2 years people have to worry about new rates, product fees and whether they will even get the mortgage they want. The only people benefiting are the banks and mortgage brokers. No wonder this country is the rip off capital of the world.",0.029524455
5,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"Look up: German working group for covid 19 vaccine analysis. This is real research on anomalous objects found in the blood of recently vaccinated individuals. Also, consider homeschooling. Education is not neutral. Are your kids being taught the values that YOU want to instill in them? You do not have to be rich or a genius to homeschool your kids. You need to be able to read and do basic arithmetic, and be willing to learn anything else alongside them. Your patience will be tested, and it is hard work, but extremely rewarding. We CAN take back our children from woke humanists who dont believe in absolute truth. As parents we CAN turn the tide of society and stop all this madness, one child at a time, because the hand that rocks the cradle rules the world.","Why do the majority continually have o support the reckless and feckless? Take some responsibility for yourselves .. cheap borrowing was never going to last.. Pay the roof over your head first , then food and utilities.. whatever is left is yours ... can't afford something? Don't buy it .. what's the difference between the new iPhone and last year's iPhone? Zilch they both make calls ... tighten your belt and be grateful you don't live in some other parts of the world !!!",0.085139431
6,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"Im fully vaccinated plus boosters. Simply in my 70s I was in the high risk category age wise regarding Covid. I have friends, and neighbours who decided not to be vaccinated, and we dont have deep discussion about why each of us has taken our own path regarding vaccination. However, every drug or vaccinated was once was new to the population, and side effects even know on all drugs can be serious and in some instances fatal. So this lady who ever she is does not want to have the vaccination , but has her son vaccinated how bizarre. I really think if your so anti vac, then dont take any medication that is manufactured.","Personally I'm doing ok but I can't understand the boomers who have no sympathy for their kids generation who most likely took probable interest rate hikes into consideration but not the unprecedented massive inflation on food, gas, electric and fuel as well as few pay rises in many occupations including professional ones. It's not irresponsible actions that are the issue here but it seems many people who bought their house for 50k now think they are some sort of financial geniuses now they are getting a small increase in their meagre savings that are being eaten up by inflation anyway. Wouldn't hurt to show a bit of sympathy for those in less fortunate positions.",0.231220961
7,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"I have to admit, my thought was ""wait, you wil give your SON the vacine, but NOT yourself?"" I can imagine having myself FIRST to see if there were effects, before giving my son, but this way...? Now these claims...? Naa.... Someone needs attention.","So what most are saying is everything is someone else's fault. Grow up. If you chose to get large mortgages, loans, spend on credit cards, then it's your own fault for creating a false reality for yourselves. For those who could have worked but chose not to, for those who planned until the weekend and nothing more you only have yourself to blame. That includes pensioners who spent their entire lives working with nothing to show for it. The only real victims here are disabled people and young kids born to irresponsible parents. That's who the country needs to protect not the average working class person. The world is a tough place to be in right now but we are still more far blessed that billions round the world who have no access to even clean water never mind a warm home. Zero sympathy for anyone else and this from a disabled working person having to work every hour Incan to support my family.",0.045995254
8,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"I'm just not into 'woke' terms like gaslighting. She's selfish, dumb or both. Did she not see the numbers that were dying before the vaccines were created. I've got no time for people like her. Irronically if she thought it was a made conspiracy theory by the lizard people then I would have simply thought she was nuts, but no it's worse than that...",Canadian MPs now talking about all ministers to declare involvement and relationships with WEF. So damaging is their agenda. But only some will call this out. Sunak is a WEF stooge. They all are. That we are looking to a Tory billionaire to solve that we can't afford our mortgages or to even heat and feed ourselves...,0.171480924
9,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"Except we really can. Take Aus.tralia and Ind.ia. Both got h.it by the D.elta st.rain. In Ind.ia the hosp.itals were full, pe.ople were dy.ing on the streets. In Austr.alia.... Nothing like that. There is also mou.ntains of evid.ence showing they wor.k in a more con.trolled environ.ments. Take the de.ath r.ates, or hospit.alisation(in a given country), of the different groups. This is well docu.mented in Aus.tralia. It VERY clearly shows you are far more likely to d.ie from co.vid if you have not been vac.cinated.","In a panic 'Experts' first shut down the economy, next fire up the money printer to buy their way out of it and are surprise surprise panicked again by the inflationary consequences of always looking for the easy fix...Talk about the head doesn't know what the tail is doing...",0.026906343
10,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"I agree with her 100%. If you actually do independent research, and stop listening to the indoctrination news, you'd realize a lot of people are dieing from the jab, or having serious side effects. Or you can continue to be brainwashed, and keep your head in the sand, go ahead be silly.","A6% interest rate is a PERFECTLY NORMAL interest rate ... Those depending on the free credit river forever were deluding themselves ... Those who cannot afford a NORMAL RATE OF 6% have over borrowed ... or as the courts say ""over extended themselves!"" ... Time to take responsibility for your own error's ... Free credit has over inflated the housing market for a decade & MUST deflate by 40% ...",0.115516566
11,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,"She's absolutely correct. NOBODY should ever feel forced, manipulated, or coerced into taking fast-tracked, experimental ""vaccines"" (that are better described as gene therapy). The potential long-term side-effects are still unknown. She was silly to jab her kid though. Why would you put anything into your child that you wouldn't accept putting into your own body? She should have homeschooled him instead. No ""education"" is worth taking those kind of unneccesary risks.",In March I commented to raise rates to 5% to stem inflation and the pound crashing! That got a lot of dislikes! Andrew Bailey and the Bank of England failed to act and now we are going to pay a far higher price! Can th3 Mail readers please send their dislikes to Bailey and the rest of the banks governors!,0.048518773
12,Forum,Anonymous,2023,1,NewsForums,DiscussionForums,People have to have the right to choose what goes into their own body and why. End of story. We are treated like cattle so that others can make endless amounts of money. They dont care. These injections have never been about health. Quite the contrary.,Interest rates should be 2% above the inflation rate in a properly functioning economy. Banks need to go back to basics and attract money from savers to fund loans to borrowers. QE money printing is responsible for our increasingly unequal society,0.047916111
